date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:05:53	229/229	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2021%20Feb%202020%2004:05:54%20GMT	http://www.sunnyshutter.ca/web_contents/testimonials/malk/	C:/Users/leeyu/OneDrive%20-%20University%20of%20Toronto/Projects/SunnyShutter/Sunny_web/www.sunnyshutter.ca/web_contents/testimonials/malk/index.html	(from http://www.sunnyshutter.ca/)
23:05:54	6417/6417	---M--	200	added ('OK')	image/jpeg	etag:%221911-59ed18158fec0%22	http://www.sunnyshutter.ca/images/cover_9.jpg	C:/Users/leeyu/OneDrive%20-%20University%20of%20Toronto/Projects/SunnyShutter/Sunny_web/www.sunnyshutter.ca/images/cover_9.jpg	(from http://www.sunnyshutter.ca/)
23:05:54	237/237	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2021%20Feb%202020%2004:05:55%20GMT	http://www.sunnyshutter.ca/web_contents/testimonials/jhone-haword/	C:/Users/leeyu/OneDrive%20-%20University%20of%20Toronto/Projects/SunnyShutter/Sunny_web/www.sunnyshutter.ca/web_contents/testimonials/jhone-haword/index.html	(from http://www.sunnyshutter.ca/)
23:05:56	7743/7743	---M--	200	added ('OK')	image/jpeg	etag:%221e3f-59ed180835f40%22	http://www.sunnyshutter.ca/images/cover_8.jpg	C:/Users/leeyu/OneDrive%20-%20University%20of%20Toronto/Projects/SunnyShutter/Sunny_web/www.sunnyshutter.ca/images/cover_8.jpg	(from http://www.sunnyshutter.ca/)
23:05:56	229/229	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2021%20Feb%202020%2004:05:57%20GMT	http://www.sunnyshutter.ca/web_contents/testimonials/alex/	C:/Users/leeyu/OneDrive%20-%20University%20of%20Toronto/Projects/SunnyShutter/Sunny_web/www.sunnyshutter.ca/web_contents/testimonials/alex/index.html	(from http://www.sunnyshutter.ca/)
23:05:58	8896/8896	---M--	200	added ('OK')	image/jpeg	etag:%2222c0-59ed17fadbfc0%22	http://www.sunnyshutter.ca/images/cover_7.jpg	C:/Users/leeyu/OneDrive%20-%20University%20of%20Toronto/Projects/SunnyShutter/Sunny_web/www.sunnyshutter.ca/images/cover_7.jpg	(from http://www.sunnyshutter.ca/)
23:06:00	9528/9528	---M--	200	added ('OK')	image/png	etag:%222538-59e68f878b180%22	http://www.sunnyshutter.ca/images/widget_light_300_150.png	C:/Users/leeyu/OneDrive%20-%20University%20of%20Toronto/Projects/SunnyShutter/Sunny_web/www.sunnyshutter.ca/images/widget_light_300_150.png	(from http://www.sunnyshutter.ca/)
23:06:00	260851/260851	---M--	200	added ('OK')	image/jpeg	etag:%223faf3-59e68f878b180%22	http://www.sunnyshutter.ca/images/testimonial_bg_optimized.jpg	C:/Users/leeyu/OneDrive%20-%20University%20of%20Toronto/Projects/SunnyShutter/Sunny_web/www.sunnyshutter.ca/images/testimonial_bg_optimized.jpg	(from http://www.sunnyshutter.ca/)
23:06:00	1403/1403	---M--	200	added ('OK')	application/javascript	etag:%2257b-59e6c698c1d00%22	http://www.sunnyshutter.ca/scripts/1850_7xwcw3xu.js	C:/Users/leeyu/OneDrive%20-%20University%20of%20Toronto/Projects/SunnyShutter/Sunny_web/www.sunnyshutter.ca/scripts/1850_7xwcw3xu.js	(from http://www.sunnyshutter.ca/)
23:06:00	0/0	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Fri,%2021%20Feb%202020%2004:06:01%20GMT	http://www.sunnyshutter.ca/scripts/xmlrpc.php	C:/Users/leeyu/OneDrive%20-%20University%20of%20Toronto/Projects/SunnyShutter/Sunny_web/www.sunnyshutter.ca/scripts/xmlrpc.html	(from http://www.sunnyshutter.ca/)
23:06:01	120239/120239	---M--	200	added ('OK')	image/jpeg	etag:%221d5af-59e68f878b180%22	http://www.sunnyshutter.ca/images/avatar_2.jpg	C:/Users/leeyu/OneDrive%20-%20University%20of%20Toronto/Projects/SunnyShutter/Sunny_web/www.sunnyshutter.ca/images/avatar_2.jpg	(from http://www.sunnyshutter.ca/)
23:06:14	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%2212d68-59e68f878b180%22	http://www.sunnyshutter.ca/css/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/Users/leeyu/OneDrive%20-%20University%20of%20Toronto/Projects/SunnyShutter/Sunny_web/www.sunnyshutter.ca/css/fonts/fontawesome-webfont3e6e.woff2	(from http://www.sunnyshutter.ca/css/font-awesome.css)
23:06:27	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222876e-59e68f878b180%22	http://www.sunnyshutter.ca/css/fonts/fontawesome-webfont.eot?v=4.7.0	C:/Users/leeyu/OneDrive%20-%20University%20of%20Toronto/Projects/SunnyShutter/Sunny_web/www.sunnyshutter.ca/css/fonts/fontawesome-webfont3e6e.eot	(from http://www.sunnyshutter.ca/css/font-awesome.css)
23:06:27	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222876e-59e68f878b180%22	http://www.sunnyshutter.ca/css/fonts/fontawesome-webfont.eot?	C:/Users/leeyu/OneDrive%20-%20University%20of%20Toronto/Projects/SunnyShutter/Sunny_web/www.sunnyshutter.ca/css/fonts/fontawesome-webfontd41d.eot	(from http://www.sunnyshutter.ca/css/font-awesome.css)
23:06:32	444379/444379	---M--	200	added ('OK')	image/svg+xml	etag:%226c7db-59e68f878b180%22	http://www.sunnyshutter.ca/css/fonts/fontawesome-webfont.svg?v=4.7.0	C:/Users/leeyu/OneDrive%20-%20University%20of%20Toronto/Projects/SunnyShutter/Sunny_web/www.sunnyshutter.ca/css/fonts/fontawesome-webfont3e6e.svg	(from http://www.sunnyshutter.ca/css/font-awesome.css)
23:06:33	251/251	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2021%20Feb%202020%2004:06:33%20GMT	http://sunnyshutter.ca/wp-content/themes/carpenter-pro/images/icon_quote.png	C:/Users/leeyu/OneDrive%20-%20University%20of%20Toronto/Projects/SunnyShutter/Sunny_web/sunnyshutter.ca/wp-content/themes/carpenter-pro/images/icon_quote.31.delayed	(from http://www.sunnyshutter.ca/css/1850_6mauzxom.css)
23:06:33	257/257	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2021%20Feb%202020%2004:06:34%20GMT	http://sunnyshutter.ca/wp-content/themes/carpenter-pro/images/mobile_nav_right.png	C:/Users/leeyu/OneDrive%20-%20University%20of%20Toronto/Projects/SunnyShutter/Sunny_web/sunnyshutter.ca/wp-content/themes/carpenter-pro/images/mobile_nav_right.png	(from http://www.sunnyshutter.ca/css/1850_6mauzxom.css)
23:06:33	98024/98024	---M--	200	added ('OK')	font/woff	etag:%2217ee8-59e68f878b180%22	http://www.sunnyshutter.ca/css/fonts/fontawesome-webfont.woff?v=4.7.0	C:/Users/leeyu/OneDrive%20-%20University%20of%20Toronto/Projects/SunnyShutter/Sunny_web/www.sunnyshutter.ca/css/fonts/fontawesome-webfont3e6e.woff	(from http://www.sunnyshutter.ca/css/font-awesome.css)
23:06:33	252/252	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2021%20Feb%202020%2004:06:34%20GMT	http://sunnyshutter.ca/wp-content/themes/carpenter-pro/images/search-icon.png	C:/Users/leeyu/OneDrive%20-%20University%20of%20Toronto/Projects/SunnyShutter/Sunny_web/sunnyshutter.ca/wp-content/themes/carpenter-pro/images/search-icon.png	(from http://www.sunnyshutter.ca/css/1850_6mauzxom.css)
23:06:33	249/249	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2021%20Feb%202020%2004:06:34%20GMT	http://sunnyshutter.ca/wp-content/themes/carpenter-pro/images/footerbg.jpg	C:/Users/leeyu/OneDrive%20-%20University%20of%20Toronto/Projects/SunnyShutter/Sunny_web/sunnyshutter.ca/wp-content/themes/carpenter-pro/images/footerbg.jpg	(from http://www.sunnyshutter.ca/css/1850_6mauzxom.css)
23:06:34	249/249	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2021%20Feb%202020%2004:06:35%20GMT	http://sunnyshutter.ca/wp-content/themes/carpenter-pro/images/up-arrow.png	C:/Users/leeyu/OneDrive%20-%20University%20of%20Toronto/Projects/SunnyShutter/Sunny_web/sunnyshutter.ca/wp-content/themes/carpenter-pro/images/up-arrow.png	(from http://www.sunnyshutter.ca/css/1850_6mauzxom.css)
23:06:34	248/248	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2021%20Feb%202020%2004:06:35%20GMT	http://sunnyshutter.ca/wp-content/themes/carpenter-pro/images/loading.gif	C:/Users/leeyu/OneDrive%20-%20University%20of%20Toronto/Projects/SunnyShutter/Sunny_web/sunnyshutter.ca/wp-content/themes/carpenter-pro/images/loading.gif	(from http://www.sunnyshutter.ca/css/1850_6mauzxom.css)
23:06:34	250/250	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2021%20Feb%202020%2004:06:35%20GMT	http://sunnyshutter.ca/wp-content/themes/carpenter-pro/images/slide-nav.png	C:/Users/leeyu/OneDrive%20-%20University%20of%20Toronto/Projects/SunnyShutter/Sunny_web/sunnyshutter.ca/wp-content/themes/carpenter-pro/images/slide-nav.png	(from http://www.sunnyshutter.ca/css/1850_6mauzxom.css)
23:06:34	266/266	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2021%20Feb%202020%2004:06:35%20GMT	http://sunnyshutter.ca/wp-content/themes/carpenter-pro/testimonialsrotator/images/quote.png	C:/Users/leeyu/OneDrive%20-%20University%20of%20Toronto/Projects/SunnyShutter/Sunny_web/sunnyshutter.ca/wp-content/themes/carpenter-pro/testimonialsrotator/images/quote.png	(from http://www.sunnyshutter.ca/css/1850_6mauzxom.css)
